Date,Precinct,Area,Rooms,Storey,Price
2012-02-01,30,55.7,2,2,150000.0
2012-04-01,25,44.2,3,3,100000.0
2012-04-01,25,48.4,,2,130000.0
2012-04-01,27,35.2,,4,110000.0
2012-05-01,27,62.0,,11,169000.0
2012-05-01,27,72.3,5,4,200000.0
2012-05-01,30,37.1,3,2,100000.0
2012-10-01,27,35.2,3,4,90000.0
2012-11-01,19,46.3,,3,128000.0
2012-12-01,25,50.9,,3,70000.0
2012-12-01,26,38.65,2,4,140076.0
2012-12-01,26,52.84,3,5,182983.0
2012-12-01,26,68.15,3,1,236632.0
2012-12-01,31,37.8,2,2,94000.0
2012-01-13,25,49.7,3,10,160000.0
2012-01-13,26,48.63,2,2,170655.0
2012-01-13,26,88.43,4,4,305508.0
2012-01-13,27,57.0,,1,150000.0
2012-01-13,27,57.0,5,1,150000.0
2012-01-16,25,59.4,4,2,120000.0
2012-01-16,30,27.7,3,3,84700.0
2012-01-16,31,45.8,3,2,84700.0
2012-01-17,19,51.3,,1,128000.0
2012-01-17,27,47.4,,3,112000.0
2012-01-17,27,47.4,4,3,112000.0
2012-01-18,27,44.92,3,2,120000.0
2012-01-19,26,35.9,2,2,100000.0
2012-01-19,26,72.67,3,3,246151.0
2012-01-20,27,34.0,,3,92000.0
2012-01-20,31,75.3,4,5,340000.0
2012-01-23,19,44.9,,2,125000.0
2012-01-23,19,144.18,,5,521643.24
2012-01-23,25,36.4,2,11,54000.0
2012-01-23,25,50.2,,5,150000.0
2012-01-23,25,50.9,,9,125000.0
2012-01-23,26,88.16,5,5,306111.0
2012-01-24,26,48.46,2,3,170059.0
2012-01-24,31,72.8,4,2,168000.0
2012-01-25,26,45.9,3,1,116109.0
2012-01-25,31,44.2,3,3,190000.0
2012-01-26,27,47.8,4,5,100000.0
2012-01-30,26,28.7,,1,80000.0
2012-01-30,26,44.64,,3,130000.0
2012-01-30,27,30.0,,5,84000.0
2012-01-30,27,30.0,2,5,84000.0
2012-01-30,31,34.0,2,3,127000.0
2012-01-31,26,34.11,1,3,114968.0
2012-01-31,26,34.4,1,2,115959.0
2012-01-31,26,38.31,2,6,134440.0
2012-01-31,26,72.69,4,2,252396.0
2012-01-31,27,59.6,,4,165000.0
2012-02-02,26,72.67,3,3,132000.0
2012-03-02,18,44.8,3,2,135000.0
2012-03-02,26,73.0,,5,180000.0
2012-06-02,26,48.12,2,4,168866.0
2012-06-02,26,68.59,4,6,234984.0
2012-07-02,27,30.2,3,5,50000.0
2012-09-02,25,57.0,4,3,133000.0
2012-10-02,25,50.9,3,11,142000.0
2012-10-02,26,33.76,1,5,92598.0
2012-02-13,26,29.5,3,1,45000.0
